,nomeRestaurante,curtidas,rating,dataVisita,dataPublicacao,comentario,titulo,IDUsuarioFK
133459,Coco Bambu São Luís,0,5,2020-9-1,2020-9-5,E sempre bom estar no coco bambu restaurante excelente atendimento ótimo tudo muito satisfatório agradeço ao Jorge pelo serviço foi excelente,Almoco,V886HZsoniao
178101,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-3-17,"Até em dias com a cidade cheia o local é muito agradável.  Garçons atenciosos. Música agradabilíssima e a comida, pastel e sucos maravilhosos.",Simplesmente Ótimo,538Carlos
73614,Coco Bambu Iguatemi Fortaleza,1,5,2021-9-1,2021-9-5,"Ótimo lugar, atendimento excelente do Joelmir, ambiente e comida maravilhosa, música agradável. Voltaremos outras vezes! Indicaremos muito.",Almoço agradável à dois,61tayarar
104188,Coco Bambu Market Place,1,5,2020-12-1,2020-12-24,Fomos servidos pelo garçom Pires que recomendou o prato “rede de pescador”.  Ficamos impressionados com a qualidade e variedade de frutos do mar servidos nesta opção e gostaríamos de salientar o ambiente romântico com sua excelente música ao vivo.,Excelente!,DrPadula
174242,Coco Bambu Osasco,0,5,2020-2-1,2020-3-2,"Minha experiencia foi uma das melhores, as bebidas, a comida foi tudo maravilhoso. Permaneci no bar durante toda minha visita, os atendentes muito simpaticos e atenciosos e principalmente em especial ao Josemberg, Bruno e a Raquel.","Minha visita fiquei no bar e os atendentes são maravilhosos, simpáticos e em especial ao Josemberg. Tudo perfeito",NorthStar364898
108944,Coco Bambu Brasília Shopping,0,5,2017-5-1,2017-5-4,"Restaurante maravilhoso, o forte são os frutos do mar, porém de novidade estão com um menu fit, com opções veganas deliciosas. Experimentei o ratatuile e a moqueca de banana, ambos sensacionais. Vale cada centavo e é muito bem servido.",Espetacular ,veronicaciteli
74332,Coco Bambu Anhembi,1,5,2020-2-1,2020-2-29,"Muito bom o serviço, extremamente prestativo e educado. Muito simpático e comunicativo! Voltaremos em breve!",Happy Hour Cocobambu,naschettini
87329,Coco Bambu Anália Franco,1,5,2018-5-1,2018-5-15,Atendimento muito bom ( Marlon) Os pratos Bem temperados. Uma delícia. Ambiente bonito e aconchegante. Vale a vir.,Presente de aniversário,Laura C
53916,Coco Bambu Recife,2,5,2018-11-1,2018-11-25,"Super recomendo!!! Comemos o camarão 4 queijos para duas pessoas, arroz com passas e batata palha feita na hora ( um charme ), o ambiente é bem bonito , música ambiente de qualidade. Fomos super bem atendidos pelo Henrique.  Os doces são uma atração a...Mais",Maravilhoso!!!!!,AlexandraMalfatti
179436,Coco Bambu Uberlândia,0,5,2019-7-1,2019-7-9,"Ótimo o restaurante, comida e atendimento exemplares!  Matheus Ribeiro Maetria Aranildo (Gerente Gildo Cardozo)",Sérgio Filho Garcia Paim,SergioFilhoG
61520,Coco Bambu JK,0,5,2018-5-1,2018-5-19,"O atendimento de Rodrigo Uchoa, exelente. A comida estava deliciosa e o ambiente agradavel. Recomendamos",Jantar em Família,Rafaela A
109471,Coco Bambu Frutos do Mar,1,5,2019-7-1,2019-7-15,"Comida e atendimento pelo Jeferson foram excelentes. Os pratos são muito bons, o chopp bem gelado. Ambiente muito agradável.",Jantar,Joao F
141222,Coco Bambu Lago Sul,0,5,2015-11-1,2016-3-16,Os pratos são deliciosos é bem servidos! Fomos dois casais pedimos dois pratos e sobrou muita comida! Recomendo,Muito bom,Cristiane O
101370,Coco Bambu Sul Restaurante,0,5,2017-8-1,2017-8-26,"Comida boa, bons vinhos. Agradeço  o atendimento  excelente  do garçom  Sousa foi show. Local que pretendo  voltar sempre",Comida boa e bons vinhos,Josete S
184733,Coco Bambu Restaurante,0,5,2022-4-1,2022-4-21,"Rogerio foi sensacional! Atendimento excelente, ajudou a escolher o pedido e foi muito educado e simpatico",Avaliação,409mariaeduardag
18606,Coco Bambu JK,2,5,2019-8-1,2019-8-10,"Muito bom  atendimento Metre Aurelio Brandao - Denilson , muito gentis Banda incrível - truffatori.trio",Espaço lounge music @truffatori.trio,Dani K
80507,Coco Bambu São Luís,0,4,2016-8-1,2016-8-28,"Cardápio farto de frutos do mar. Bebidas gostosas e com bela apresentação tropical. A equipe da cozinha, no entanto, precisa ser mais atenta pois a nossa entrada chegou quando já estávamos na metade do prato principal. O restaurante assumiu a culpa e foi muito hábil...Mais",Muito bom,sibelleb
7743,Coco Bambu Recife,0,5,2022-1-1,2022-1-28,"O André  é muito atencioso, simpático e prestativo.  Excelente atendimento no coco bambu.  Obrigada por tudo!",Ótima experiência,MarcellaC223
172605,Coco Bambu Restaurante,0,1,2018-7-1,2018-7-31,"Atendimento horrível! 50 minutos esperando um chopp, garçons grossos, não recomendo! Comida demorou demais!Mais",Pessimo,renataterra
66829,Coco Bambu JK,0,5,2018-10-1,2018-10-31,"Ótimo prato, chopp gelado, vinho branco muito bom...excelente atendimento! O Garçom Edvaldo nos atendeu muito bem!!!",Aniversário de casamento,Brunna P
162806,Coco Bambu Anália Franco,0,5,2017-9-1,2017-9-28,Eu amei a experiência neste restaurante! A comida é maravilhosa e tive um otimo atendimento feito pelo garçom Marlon..,Um lugar fantástico! ,JuliaFerrari
35227,Coco Bambu Anália Franco,1,5,2020-2-1,2020-2-21,Excelente atendimento! Recomendo o camarão coco bambu! Ótimo garçom Lucas Nunes! Gostei do som do Dj! Coisa fina.  Parabéns!,Aniversário,V952CBgustavos
6040,Coco Bambu Frutos do Mar,0,5,2012-10-1,2013-8-29,"Possui dois pisos, bom atendimento, a comida é farta e deliciosa,amplo estacionamento, ambiente muito bem decorado,bom estar lá e desfrutar da bela vista.",Ambiente sofisticado e agradável.,Ana Laura O
172841,Coco Bambu Anália Franco,0,5,2017-11-1,2017-11-23,"Maravilhosoooooo.....  atendimento espetacular !!! Marlon super atencioso,simpático e prestativo!!! Sensacional 😍😍😍😍👌👏👏👏👏👏",Comemorando niver com as Bests 🎉😍,Elaine A
63077,Coco Bambu Frutos do Mar,0,4,2016-1-1,2016-1-14,O restaurante Coco Bambu na Avenida Beira Mar na Praia do Meireles tem  a melhor cozinha no tocante à frutos do mar na Cidade de Fortaleza. Os pratos são muito bem servidos e os preços são justos. Apesar de ser na orla da Capital onde...Mais,Um dos melhores de Fortaleza!,TarcisioPorto
153688,Coco Bambu Frutos do Mar,1,5,2019-6-1,2019-6-24,"Ambiente ótimo, aconchegante, músicas agradáveis. Comida maravilhosa e atendimento nota mil com garçom Teixeira!",Coco bambu,Julie S
96141,Coco Bambu Brasília Shopping,0,5,2018-7-1,2018-7-17,Peixe maravilhoso ótimo atedimento ambiente agradável atendida por lucicreudo  recomendo maravilhoso.........,Atendimento  muito bom,silviazanatta
182590,Coco Bambu Lago Sul,0,5,2016-1-1,2016-1-13,"Comida excelente! O prato vem bem servido. Recomendo o camarão internacional e o camarão Dellcia. Espaço agradável com vista linda! No domingo, é bom chegar mais cedo para conseguir lugar.",Maravilhoso almoço de domingo!,lucianam354
95408,Coco Bambu Águas Claras,6,5,2018-6-1,2018-6-6,"Excelente restaurante com vasto cardápio e ambiente agradável. Tempo de espera médio e comida excelente. Fomos atendidos pelo Pedro, que nos disse que o tempo para o prato ficar pronto seria de 30 minutos, depois de trinta minutos, ele por conta própria, voltou a nossa...Mais",Diferenciado!,felipefmt
2990,Coco Bambu Osasco,0,5,2019-10-1,2019-10-12,"Excelente feijoada, muito saborosa, leve e bem servida. Ótimo atendimento do Maitre Macedo e do garçom Alan.",Almoço de Sábado,Camilatraveller
55594,Coco Bambu Flamboyant,0,5,2018-3-1,2018-3-25,"Totalmente  recomendo. Quand0 se fala em lugar agradável de comida excelente e atendimento impecável, log0 indico coco bambu. Sem falar na simpatia  do garçom Sidney que está  sempre demonstrando profissionalismo, destresa  e muita competência  ao nus atender. Voltaremos  em breve👏👏👏🥂🍷🍾",Recomendo  muuuit0,654l_vias
147886,Coco Bambu Recife,0,5,2017-8-1,2017-8-26,"Havíamos tudo uma experiência não muito boa, porém resolvi da uma nova oportunidade ao restaurante e não me arrependi, comemos um excelente filé de pescada, na nata acompanhado de batas e arroz de brócolis, o atendimento foi impecável a comida estava extremamente saborosa, voltaremos a...Mais",Muito bom ,paullinhob
112185,Coco Bambu SP Market,0,5,2021-5-1,2021-5-4,Atendimento espetacular pelo Marco Abreu. Fomos atendidas rapidamente com servico eficaz. Agilidade no atendimento.,Sucesso,anapaulasZ983UF
122100,Coco Bambu Sul Restaurante,1,4,2013-6-1,2014-5-5,"Muito parecido à franquia próxima da praia. O ambiente praiano lindo, com um espaço para crianças. E a comida deliciosa. Amei o brigadeiro na taça deles como sobremesa, mas tem que dividir com mais alguém, porque é muito chocolate pra uma pessoa só! hehe",Delicioso!,Jess J
184377,Coco Bambu Flamboyant,0,3,2015-10-1,2016-7-24,"A comida estava deliciosa, e a bebida agradável, mas não surpreendente. O atendimento deixou um pouco a desejar. Cupons de descontos não funcionam lá, pois não importa o valor pago, ou o desconto oferecido, eles vão cobrar a diferença do valor do prato na hora,...Mais","Ótima comida, mas, nada de cupons de desconto!",lucasnogueiravalente
72229,Coco Bambu Lago Sul,1,5,2019-9-1,2019-9-22,Mateus um ótimo  funcionário  do Coco bambu adorei a comida e o atendimento  foi nota 10 obrigado  e espero voltar em breve,Aniversário,Marcos A
21871,Coco Bambu Market Place,0,5,2019-9-1,2019-9-10,"Almoço muito bom, prato excelente alem de atendimento super rápido, garcon uma doçura de pessoa, obrigada Muller!",Almoço,Beatrizb_leite
162614,Coco Bambu - Dom Pastel,0,5,2021-8-1,2021-8-21,"Ótima  opção pra quem procura conforto, comida boa e espaço infantil. Garçons atenciosos e simpáticos. Procurem o Pablo Ótimo garçom",Coco bambu dom pastel,Maesaayla
181052,Coco Bambu Lago Sul,0,5,2018-11-1,2018-12-12,"A celebração com boa(s) companhias pede um lugar com comida boa e farta, um suco natural de tangerina (delicioso!). A varanda não tem a comodidade do ar condicionado para os mais exigentes, mas é um local bem acolhedor, além de contar com a vista para...Mais","Para celebrar, ou apenas degustar uma boa refeição. ",mcrismarinha
52479,Coco Bambu Ribeirao Preto,0,5,2019-3-1,2020-2-11,"Sempre fui bem atendida e com pratos deliciosos. Local muito agradável, comida excelente e farta. Sempre tem promoções e o prato serve pelo menos 3 pessoas",Exclente,adorocamarao
94616,Coco Bambu Meireles,0,5,2015-12-1,2016-1-15,"Show! muito gostoso, atendimento de 1ª e preço bom! O restaurante tem várias cozinhas, pizza, peixes e etc...Ahh e estacionamento!",MARAVILHOSO!!,ANNICKFLN
145079,Coco Bambu Ribeirao Preto,0,4,2019-3-1,2019-3-12,"Restaurante maravilhoso, comida de qualidade, ótimo ambiente e música aconchegante, arquitetura está de parabéns!!! Ótima carta de vinhos com uma adega linda!  Mas no atendimento acredito que falta um pouco mais de treinamento e vontade, os garçons são meio travados. Mas voltarei...",Comida muito boa,mariacarmo2016
106374,Coco Bambu Porto Alegre,0,5,2021-4-1,2021-4-22,"O atendimento do Brad foi excepcional, super atencioso e carismático. Os pratos estavam deliciosos, no ponto certo, temperatura certa e tempero perfeitos. Ambiente aconchegante e seguindo todas as normas de higienização, disponibilizam pequenos sacos para colocar sua máscara e mesas contém álcool em gel.",Experiência Maravilhosa,nandozago
691,Coco Bambu Ribeirao Preto,0,5,2016-8-1,2016-8-13,"Fomos com família e amigos, todos adoramos!!! Comida deliciosa!!! Ótimo atendimento!!! Pratos bem servidos!!! Excelente custo-benefício!!!",Delicioso!!!,X2715PSsanl
53343,Coco Bambu Sul Restaurante,1,5,2019-10-1,2019-10-13,"O restaurante é excelente. Comida boa, música maravilhosa, fui atendida pelo Baiano (garçom extremamente atencioso) e o maitre Moura também super gentil.",Ótimo atendimento.,Tamara C
155836,Coco Bambu Market Place,2,5,2017-10-1,2018-8-30,"Todos os pratos excelentes, clima agradável. O atendimento ótimo, Rodrigo Sandes nos atendeu muito bem, nos apresentou um maravilhoso prato.  Concerteza meu restaurante preferido.",Jantar de noivado ,721marianafaust9
82219,Coco Bambu Vila Velha,0,5,2016-7-1,2016-7-15,"Sem dúvida já é a melhor opção para se comer frutos do mar no Espírito Santo! Além da comida ser maravilhosa, o atendimento e ambiente são impecáveis. Não deixe de experimentar o camarão com crosta de pão de alho, sensacional!",Chegou arrebentando!,pedrof92
127765,Coco Bambu Uberlândia,0,5,2021-9-1,2021-9-17,"Cida nos atendeu muito bem, de prontidão para qualquer necessidade, deu dica de petiscos e bebidas que acatamos e estavam excelentes, muito atenciosa e prestativa. Completou nossa experiência que por muitas vezes ja tinha deixado a desejar no coco",Jantar - sexta feira,Flávia B
81883,Coco Bambu SP Market,0,5,2019-7-1,2019-7-12,"Ótimo atendimento, tempo de espera e refeição. Lugar maravilhoso para curtir com a família ou em casal.",Jantar de sexta,Gabriella B
62851,Coco Bambu Restaurante,0,4,2019-3-1,2019-4-2,"Muito gostosa a comida, atendimento impecável, muito confortável. Sempre tem algumas promoções. Vale muito a pena conhecer.",Restaurante muito bom,Mauro S
148843,Coco Bambu,0,4,2017-2-1,2017-2-15,"Fácil estacionamento, atendimento rápido, boa comida, ambiente muito agradável e preço dentro da expectativa.",Jantar de Nogocios,ClaudioO840
117136,Coco Bambu Frutos do Mar,0,5,2015-4-1,2015-5-10,"A comida é deliciosa e fata, tem gosto de comida fresca, mas se prepare que o preço é um pouco salgado.",Delicioso!,JulianaPandora
115104,Coco Bambu Lago Sul,0,4,2013-12-1,2014-11-9,"Fui em um almoço de fim de ano do serviço, comida e atendimento bons. Não sei avaliar pratos específicos, mas o risoto de camarão estava muito saboroso. A vista e localização são boas.",Camarão bom,aninha24
77945,Coco Bambu Manaus,1,1,2018-9-1,2018-9-4,"Gostaria de relatar um fato. No dia 03/09/2018 Fizemos um pedido de dois pratos pelo ifood às 11:00 da manhã. Como já se passavam das 13 hs e, segundo o aplicativo o motoqueiro já tinha saído para entrega a mais de 1 hs. Resolvi ligar,...Mais",Atendimento delivery,Christiane M
128246,Coco Bambu Restaurante,0,5,2019-11-1,2019-11-27,Muito bem atendido pela Rúbia. Parabéns Rúbia.o local é agradável. Adorei muito o atendimento. Parabéns!...,Muito bom o ambiente. recomendo..,548laertec
146477,Coco Bambu Frutos do Mar,0,5,2018-10-1,2018-10-29,Ó garçon Alex foi perfeito no atendimento e atencioso e passa todas informações corretas  da culinária da casa nota 1000 pra ele,Ferias,Ugilton E
120634,Coco Bambu Anhembi,1,5,2019-7-1,2019-7-6,"O atendimento foi excelente pelo Francisco. A comida estava agradável, o ambiente também. Recomendo para quem gosta mto de camarão.",Aniversário do meu irmão,FrequentFlier686692
92158,Coco Bambu Anália Franco,2,5,2019-10-1,2019-10-18,"Nota 1.000, Leonardo , comida excelente, local, atendimento, com certeza indico para outras pessoas.",Almoço,Itamarcorreia
48399,Coco Bambu Meireles,0,5,2022-8-1,2022-8-1,"Fui muito bem atendido pelo meu amigo aristenio, comemos um file de 4 queijos  e meio  carne de sol Maranhão. Top serve muito bem 3 pessoas",Excelente  jantar ótimo atendimento,danubbioc
125260,Coco Bambu Anhembi,0,5,2022-7-1,2022-7-13,"Adorei o atendimento do garçom Sebastiao, na unidade Coco Bambu Anhembi, que nos atendeu com muita presteza e simpatia",Elogio,paulapY3768RA
49383,Coco Bambu Londrina,0,5,2021-11-1,2021-11-17,"Ótimo atendimento, nota 1.000!!!!!! Walter que nos atendeu, e foi educado e atencioso o tempo todo com todo mundo.",Confraternização agência sicredi sertanopolis,giovannagG9024KY
26532,Coco Bambu Market Place,0,5,2022-7-1,2022-7-1,"Marcos Vinicius,  um excelente garçom,  muito atencioso. Nos deu total apoio nas escolhas, sem bastante assertivo.",Avaliação de garçom,Y2270ROlucasd
154752,Coco Bambu Lago Sul,0,5,2013-8-1,2013-9-22,"Comida excelente!  Gosto muito do Camarão Internaional e o Camarão em Crosta (acompanha arroz siciliano e salada).  Dependendo do prato, serve de 2 a 4 pessoas.  Muito bom.",Muito bom,MSSDF
40208,Coco Bambu Águas Claras,1,5,2019-11-1,2019-11-14,"Quero agradecer ao Garçom Francisco, que ofereceu um ótimo atendimento. Pedimos um prato novo de camarão e chegou super rápido. O estabelecimento e o atendimento estão de parabéns",Atendimento,rodrigo m
188934,Coco Bambu SP Market,0,5,2019-8-1,2019-8-15,"Ótimo atendimento,  o Garçom excelente, é local muito bom  Vagner dias.  Voltaremos mais vezes com a minha família.",Almoço,Nicolas  F
188113,Coco Bambu ItaúPower Contagem,0,5,2022-3-1,2022-3-20,Garçom Marcelo nos atendeu com muita cordialidade! Lugar excelente para compartilhar com a família e amigos,Atendimento Diferenciar,lorenasD1321UJ
2924,Coco Bambu JK,0,4,2017-6-1,2017-8-30,"Ambiente refinado e aconchegante, comida muito boa, atendimento perfeito, ambiente Kids com monitoramento para que os pais possam curtir o bate papo e as refeições mais descontraidos. Gostei muito, pretendo voltar mais vzs.",Coco Bambu Tatuapé,GilbertoV230
94104,Coco Bambu,0,4,2018-7-1,2018-7-9,Muito bom!!! Foi uma experencia muito positiva e pedirei mais no futuro. O serviço foi exelente e muito reconfortante e o preco e justo.,Entrega em casa,wg2311
65923,Coco Bambu Flamboyant,0,5,2019-10-1,2019-10-31,"Pedimos os pratos de praia de itamaracá; olinda e tamandare e estava tudo maravilhoso. Fomos muito bem atendidos pelo Fernando Potigua Felinto. Em outra ocasião pedimos o praia de boa viagem, que é realmente o melhor macarrão da casa.",MELHOR CAMARÃO DA CIDADE,Tatimfb
178818,Coco Bambu Meireles,0,4,2016-3-1,2016-4-5,"Comida muito boa, ambiente agradável, porções generosas, preço razoável, mas, o atendimento deixa a desejar.",Muito bom,evelineparaujo
174112,Coco Bambu SP Market,0,5,2019-7-1,2019-7-17,"Excelente atendimento, qualidade da comida impecável, ambiente agradável e com espaço para crianças. Ótimo para reunir a família.",Excelente!,claragmonteiro
9990,Coco Bambu Anália Franco,2,5,2018-9-1,2018-11-7,"O lugar é agradável. Música ao vivo, atendimento normal. Mas a comida é deliciosa.  É uma rede, então todos têm o mesmo cardápio. Recomendo","Caro, porém saboroso ",alineargolo
185643,Coco Bambu Uberlândia,0,3,2019-8-1,2019-8-4,"O Coco Bambu de Uberlândia segue o padrão da rede que, em geral, é bom. Porém, a unidade local sofre de um sério problema com o serviço. O tempo para trazerem uma simples água é inacreditável. Uma bebida mais elaborada, pior ainda. Já os pratos......Mais",Serviço absurdamente lento,Alexandre Henry A
127393,Coco Bambu,0,5,2020-8-1,2020-8-15,"Excelente atendimento e ótimos pratos. Comida deliciosa. Parabéns ao gerente Hugo, muito profissional e atencioso.",Agradecimento pelo atendimento,Isabela C
67336,Coco Bambu Frutos do Mar,1,5,2014-9-1,2014-12-2,"Adoro a rede de Restaurantes do grupo Coco Bambu, mas o Coco Bambu Frutos do Mar é especial... Tem uma localização ímpar na Beira-mar de Fortaleza, ambiente agradabilíssimo, comida mais que perfeita, atendimento nota 10 e uma caipifruta de uva que é Tuuudo!!! Sempre que...Mais",Espetacular!!!,Angela_Vianna
33075,Coco Bambu Londrina,0,5,2022-1-1,2022-1-30,"Excelente atendimento. Comida saborosa e com preço condizente, justo. Ambiente agradável, com música ao vivo e ótimo repertório.  Bebidas geladas que chegam rapidamente às mesas. Banheiros limpíssimos. Decoração refinada. Garçons atenciosos e prestativos. Espaço Kids atrativo e seguro. Adega completa.",Excelente,tha_sang_licap2021
127691,Coco Bambu Águas Claras,3,5,2018-8-1,2018-8-6,"Lugar para ir com amigos e familiares, confraternização. Ótima localização,música,ambiente limpo e bem decorado, comida excelente comemorações,",Para comemorar,ElkeOliveira
154718,Coco Bambu Bahia,0,5,2018-9-1,2018-9-18,"A comida é uma delícia e muito bem servido. Atendimento excelente por Edilson e Roberto, voltarei com certeza.",Melhor camarão!,paulatbl
158388,Coco Bambu Anhembi,0,5,2018-4-1,2018-4-20,Excelente comida e atendimento. Os garçons Adriano Sorriso e o Fabiano são excelentes !!! O Metre Fabão também da todo apoio no excelente atendimento ... super indico !! Não saiam sem a cocada ao forno !! :),Jantar comemoração ,Fernanda d
94690,Coco Bambu Anhembi,0,5,2016-12-1,2016-12-29,"Atendimento perfeito desde o manobrista até o sommelier. 400 lugares, expandindo para 1200, dos quais 600 serão reservados para eventos.  Todos, sem exceção, fazem questão de agradar o cliente en todos os detalhes. Perguntei ao maitre se meu prato podia vir sem coentro e ele...Mais",Excelente atendimento num lugar lindo,428andr_af
36409,Coco Bambu Conceito Pátio Paulista,0,5,2022-3-1,2022-3-12,Sempre uma experiência maravilhosa. Fomos bem recebidos pelo Felipe Abreu com o atendimento excelente e seu parceiro Bruno. Obrigada!,Atendimento e recepção,arianercosta
52633,Coco Bambu Restaurante,2,5,2019-12-1,2019-12-7,"Ótimo atendimento, cardápio com diversas opções de bebidas e comidas maravilhosas. Garçom Milton muito atencioso...",Fantástico,Jaircjunior13
179020,Coco Bambu Conceito Eldorado,0,5,2022-3-1,2022-3-13,"Excelente , Devanir nos atendeu super bem. A comida estava muito boa. Amamos estar comemorando o niver aí.",Amigos,568dirleid
99783,Coco Bambu Anália Franco,0,5,2021-7-1,2021-7-13,"Lugar charmoso, aconchegante de excelente atendimento, comida muito gostosa pratos caprichadas, garçom Souza que nos atendeu muito receptivo e atencioso",Perfeito!,Magda P
36390,Coco Bambu Frutos do Mar,0,5,2017-2-1,2017-4-18,"Tradicionalmente o melhor camarão da cidade, com ambiente agradável com vista para o mar; boa disponibilidade de vinhos e cervejas especiais. Bom para almoço, jantar e confraternizações.",Melhor camarão da cidade!,thomasyuri
167446,Coco Bambu Sul Restaurante,1,5,2019-9-1,2019-9-7,"ótimo atendimento do eduardo! comida não demorou, bom ambiente, boa comida, comida muitooo boaa!!! recomendo",aniversário,Adauto F
28867,Coco Bambu Ribeirao Preto,0,4,2017-3-1,2017-4-4,"Bom espaço físico e atendimento, localizado em um shopping, cardápio enorme, comida muito boa. Restaurante padrão desta rede. Vale muito a pena",Bom como sempre,bernadetejeha
93816,Coco Bambu,0,5,2017-12-1,2017-12-13,"Apesar do preço ser um pouco alto vale cada centavo. O ambiente é maravilhoso e as comidas divinas. Leque de opção muito grande: pratos de carne, frutos do mar, pizzas, saladas... Melhor restaurante da cidade!",Maravilhoso ,Laisclb
154649,Coco Bambu Meireles,0,4,2013-12-1,2014-1-10,"O local é bonito, muito bom atendimento, costuma estar lotado, os preços são bem elevados (mas tudo na região é), mas a comida vale o preço cobrado. O camarão terminador é muito bom, assim como a porção de lula. Não experimentamos a parte de carnes,...Mais",A qualidade paga o alto preço cobrado,DiegoPeixoto
104781,Coco Bambu Frutos do Mar,1,5,2019-5-1,2019-5-18,"Ótimo atendimento do senhor narcélio!bom ambiente, musica agradável e ao vivo, comida saborosa e de bom grado",Jantar em família,Leonardo S
157694,Coco Bambu - Dom Pastel,0,5,2018-6-1,2018-6-29,"Sempre bom estar de volta ao Dom Pastel, comida espetacular e atendimento excelente pelo Eduardo e Jonceliano!",Dom pastel sempre bom!!!,barbaradtv
174217,Coco Bambu Frutos do Mar,1,5,2020-3-1,2020-3-5,"Lugar agradável, pratos muito bem servidos, muito saborosos! Drinks deliciosos e ainda tem parquinho para as crianças. Recomendo!",Ótimo restaurante!,RafaelPcantal
103876,Coco Bambu Lago Sul,0,5,2014-8-1,2014-12-23,"Um excelente lugar para conhecer, com uma bela vista do lago sul. Uma refeição maravilhosa, com atendimento de primeira. Comemos frutos do mar, deliciosos. Uma caipirinha de coco incrível. Vale a pena cada centavo. Achamos complicado chegar no restaurante, mesmo com GPS, e também um...Mais",Comida e Atendimento de Primeira,denerdidone
125428,Coco Bambu JK,0,5,2021-6-1,2021-6-28,"Comida, ambiente e atendimento maravilhoso. Aproveitamos a visita de amigos para conhecer e foi uma ótima experiência.",Recomendado,marianad436
72169,Coco Bambu Frutos do Mar,0,4,2014-12-1,2014-12-10,"Lugar enorme, com muito movimento, mesas externas, diferentes ambientes, ótimo. Os pratos são grandes, dá para 3 pessoas. Comida muito boa.","Bonito, Muito Bom!",Meibak
106452,Coco Bambu Anália Franco,0,5,2020-1-1,2020-1-19,"Todos foram muito atenciosos conosco!Viemos para comemorar o aniversário da nossa filha. Comida impecável,bebida gostosa e ambiente agradável! Charles nos tratou c alegria e empenho total!",Aniversário,899lilianf
128032,Coco Bambu - Dom Pastel,0,5,2017-8-1,2017-8-5,Melhor camarão internacional da cidade... Atendimento de alta Qualidade! Indico para todos que queiram uma boa comida e cerveja!,Excelência em atendimento! ,Rodrigo F
8529,Coco Bambu Brasília Shopping,1,4,2018-9-1,2018-9-5,"Restaurante com boa opção de cardápio, tendo o camarão como carro chefe dos pratos. O serviço é bom, poderia ter pequenos ajustes. A carta de vinho é adequada, com variedade para acompanhar os diversos pratos.",Boa opção no shopping,Solange P
84501,Coco Bambu Ribeirao Preto,1,5,2019-10-1,2019-10-8,"Restaurante impecável e atendimento excepcional do Raynan. Com certeza voltaremos logo! Pedimos prato camarão de olinda por apenas 49,90.Mais",Jantar com namorada,tiagopinheiro97
109345,Coco Bambu Lago Sul,0,5,2014-8-1,2015-3-25,"Ambiente agradável. Atendimento excelente. Os pratos não são baratos, mas valem cada centavo e são bem servidos. O meu prato preferido é a carne de sol do sertão, arroz de leite e carne desfiada. Delícia.",Recomendo,luisavaccani
